author_name;book_id;role_name
Генис А.;921656;автор
Дэвис С.;1033923;автор
БестужевРюмин К.;1167329;автор
Узорова О.;851679;автор
Сервантес М.;1212195;автор
Каганов Л.;1218868;автор
Александрова Н.;746480;автор
Генри О.;743553;автор
Сутеев В.;1053206;автор
Демидова А.;1226467;автор
Точинов В.;1240572;автор
Хансен К.;1013604;автор
Ярославская П.;1055135;автор
Гарднер Э.;857642;автор
Катаев В.;1208889;автор
Чик Б.;884063;автор
Морли М.;324153;автор
Уайльд О.;755526;автор
Шустерман Н.;1082844;автор
Абгарян Н.;826236;автор
Портер Д.;823929;автор
Зверев С.;377370;автор
Парти Р.;996842;автор
Толстой А.;338194;автор
Маккуистон Дж.;936092;автор
Хилл Н.;1208909;автор
Воловичков Г.;1255505;автор
Филатов А.;288299;автор
Риордан Р.;346662;автор
Шевелева Н.;928367;автор
Слипенчук В.;491343;автор
Эйслер Б.;420693;автор
Терентьева Н.;826250;автор
Жук И.;964445;автор
Михайлова О.;854627;автор
Александрова О.;1030615;автор
Верн Ж.;952845;автор
Браун П.;1235365;автор
Тонг Куонг В.;857674;автор
Бейтер Л.;961495;автор
Полынь Д.;964445;автор
Шутюк Н.;1079528;ред
Паундер Ш.;1231561;автор
Шиканян Т.;337651;автор
Вонсович Б.;1220898;автор
Колина Е.;1067629;автор
Сатья дас.;904640;автор
Бэйкер С.;1244484;автор
Симбирская Ю.;1014069;автор
Сорокин В.;1164528;автор
Вудхед Л.;861227;автор
Толстой Л.;767690;автор
Волк А.;1222072;автор
Вегнер Р.;1035285;автор
Вульф В.;304506;автор
Михалкова Ю.;1253981;автор
Вильмонт Е.;1018491;автор
Браун П.;1236213;автор
Парнякова М.;856737;автор
Лаворенко А.;980557;автор
Тополь Э.;871363;автор
Замятин Е.;1234892;автор
Лесков Н.;1079943;автор
Клоков В.;1211246;автор
Вудхаус П.;1199362;автор
Броуди Дж.;846160;автор
Шарма Р.;812278;автор
Коулл В.;989381;автор
Клюшник Л.;1171084;автор
Полянская А.;856465;автор
Пушкин А.;1215175;автор
Филиппова М.;970824;автор
Эртель А.;1217765;автор
Минаков И.;1064371;автор
Синек С.;1064120;автор
Малыгин В.;1075854;автор
Рой О.;301409;автор
Мешкова О.;1010050;автор
Андерсон К.;948621;автор
Малеев В.;1222385;автор
Фейхтвангер Л.;347477;автор
Бентли С.;1071596;автор
Дмитриева В.;1005133;автор
Щигель Д.;314359;пер
Лансет Б.;744583;автор
Жибель К.;1220834;автор
Слука И.;853355;автор
Чайчук В.;349468;худ
Шоу Б.;1020730;автор
ГодфриСмит П.;1253843;автор
Кафка Ф.;331637;автор
Сладкова О.;254063;автор
Грей А.;1252442;автор
Шиканян Т.;1234386;автор
Жуковская Е.;260231;худ
Твардовский А.;1222712;автор
Хей Л.;732149;автор
Брайсон Б.;723539;автор
Войцехович А.;1075921;сост
Севостьянова НН.;355698;автор
Вильмонт Е.;1198825;автор
Ханнанов Н.;1206653;автор
Вьюницкая Е.;874701;ред
Нефедова Е.;883304;автор
Щеглова И.;303022;автор
Зверев С.;1071621;автор
Горбачева Н.;1196819;ред
Фролова Ж.;958481;автор
Аскарова О.;1204958;автор
Суркова Л.;1184215;автор
Вальдман Х.;768386;автор
Гальцева С.;1185529;автор
Шелдон С.;789489;автор
Пратчетт Т.;884672;автор
СентЭкзюпери А.;1232433;автор
Ренне.;1030392;автор
Бали В.;770568;автор
Жуковская Е.;314363;худ
Шахматова Т.;1173844;автор
Уилльямс Н.;846173;автор
Кристи Дж.;723664;автор
Майзульс М.;1181316;автор
Высоцкая Ю.;361179;автор
Гримм Я.;873792;автор
Астапова М.;905237;сост
Стил Д.;317033;автор
Макеев А.;845201;автор
Андерс Л.;986493;автор
Приставкин А.;825280;автор
Саган Ф.;1049469;автор
Диккенс Ч.;1160034;автор
Малышева А.;938601;автор
Kerba M.;968166;худ
Коровашко А.;1220139;автор
Литвинов С.;1095740;автор
Ломовская Н.;837592;автор
Липскеров М.;324469;автор
Фролова Н.;1165593;автор
Борисова Г.;1224509;ред
Крижановская Т.;298797;автор
Ли И.;1029559;автор
